node_type_id model_type morphology dynamics_params rotation_angle_zaxis population pop_name location ei model_processing model_template
475057898 biophysical Sst-IRES-Cre_Ai14-183332.05.01.01_491771290_m.swc 475057898_fit.json -2.580592347 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
475068599 biophysical Sst-IRES-Cre_Ai14-183332.06.02.01_495889919_m.swc 475068599_fit.json -3.348717109 v1 i23Sst VisL23 i aibs_perisomatic ctdb:Biophys1.hoc
475459689 biophysical Nr5a1-Cre_Ai14-184650.06.01.01_491392945_m.swc 475459689_fit.json -2.6537852159999997 v1 e4Nr5a1 VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
475517090 biophysical Sst-IRES-Cre_Ai14-184927.03.02.01_492100832_m.swc 475517090_fit.json -2.626102185 v1 i5Sst VisL5 i aibs_perisomatic ctdb:Biophys1.hoc
475585413 biophysical Htr3a-Cre_NO152_Ai14-185347.03.02.01_492100857_m.swc 475585413_fit.json -2.706775419 v1 i1Htr3a VisL1 i aibs_perisomatic ctdb:Biophys1.hoc
475622680 biophysical Htr3a-Cre_NO152_Ai14-185555.03.01.01_491119960_m.swc 475622680_fit.json -2.462350205 v1 i23Htr3a VisL23 i aibs_perisomatic ctdb:Biophys1.hoc
475622793 biophysical Htr3a-Cre_NO152_Ai14-185553.05.01.01_491119938_m.swc 475622793_fit.json -3.1589246330000003 v1 i23Htr3a VisL23 i aibs_perisomatic ctdb:Biophys1.hoc
475744706 biophysical Htr3a-Cre_NO152_Ai14-185556.06.01.01_492413499_m.swc 475744706_fit.json -2.970834607 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
475888653 biophysical Pvalb-IRES-Cre_Ai14-187029.03.02.01_491119916_m.swc 475888653_fit.json -2.149943828 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
476048909 biophysical Rorb-IRES2-Cre-D_Ai14-187416.05.01.01_491796267_m.swc 476048909_fit.json -2.393434965 v1 e5noRbp4 VisL5 e aibs_perisomatic ctdb:Biophys1.hoc
476049169 biophysical Rorb-IRES2-Cre-D_Ai14_IVSCC_-187416.06.02.01_485996843_m.swc 476049169_fit.json -3.101282196 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
476054887 biophysical Scnn1a-Tg2-Cre_Ai14-185900.04.02.01_491771354_m.swc 476054887_fit.json -3.563304622 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
476087653 biophysical Nr5a1-Cre_Ai14-186567.03.02.01_495337183_m.swc 476087653_fit.json -4.042862642 v1 NULL NULL NULL aibs_perisomatic ctdb:Biophys1.hoc
476104386 biophysical Sst-IRES-Cre_Ai14-187427.04.01.01_491119894_m.swc 476104386_fit.json -2.9170172389999998 v1 i6Sst VisL6 i aibs_perisomatic ctdb:Biophys1.hoc
476126528 biophysical Scnn1a-Tg3-Cre_Ai14-187849.05.02.01_491119823_m.swc 476126528_fit.json -3.8291696219999998 v1 e4Scnn1a VisL4 e aibs_perisomatic ctdb:Biophys1.hoc
